"X","ticker","date","volume","price.open","price.high","price.low","price.adjusted"
1,"AAPL",2018-01-02,2638717600,42.540001,45.025002,41.174999,40.280087
2,"AAPL",2018-02-01,3711577200,41.7925,45.154999,37.560001,43.026588
3,"AAPL",2018-03-01,2854910800,44.634998,45.875,41.235001,40.528866
4,"AAPL",2018-04-02,2664617200,41.66,44.735001,40.157501,39.92012
5,"AAPL",2018-05-01,2483905200,41.602501,47.592499,41.317501,45.314293
6,"AAPL",2018-06-01,2110498000,46.997501,48.549999,45.182499,44.887512
7,"AAPL",2018-07-02,1574765600,45.955002,48.990002,45.855,46.143612
8,"AAPL",2018-08-01,2801275600,49.782501,57.217499,49.327499,55.391811
9,"AAPL",2018-09-04,2715888000,57.102501,57.4175,53.825001,54.931904
10,"AAPL",2018-10-01,3158994000,56.987499,58.3675,51.522499,53.257713
11,"AAPL",2018-11-01,3845305600,54.762501,55.59,42.564999,43.607544
12,"AAPL",2018-12-03,3595690000,46.115002,46.235001,36.647499,38.518612
13,"AAPL",2019-01-02,3312349600,38.7225,42.25,35.5,40.643066
14,"AAPL",2019-02-01,1890162400,41.740002,43.967499,41.482498,42.462925
15,"AAPL",2019-03-01,2603925600,43.57,49.422501,42.375,46.582916
16,"AAPL",2019-04-01,2024470800,47.91,52.119999,47.095001,49.211864
17,"AAPL",2019-05-01,2957826400,52.470001,53.827499,43.747501,43.099117
18,"AAPL",2019-06-03,2060874800,43.900002,50.392502,42.567501,48.724384
19,"AAPL",2019-07-01,1895406800,50.7925,55.342499,49.602501,52.446659
20,"AAPL",2019-08-01,2724326400,53.474998,54.5075,48.145,51.583324
21,"AAPL",2019-09-03,2170268400,51.607498,56.605,51.055,55.34692
22,"AAPL",2019-10-01,2433210800,56.267502,62.4375,53.782501,61.472961
23,"AAPL",2019-11-01,1793326000,62.384998,67,62.290001,66.240448
24,"AAPL",2019-12-02,2388794800,66.817497,73.4925,64.072502,72.783936
25,"AAPL",2020-01-02,2934370400,74.059998,81.962502,73.1875,76.714989
26,"AAPL",2020-02-03,3019851200,76.074997,81.805,64.092499,67.915665
27,"AAPL",2020-03-02,6280072400,70.57,76,53.1525,63.177769
28,"AAPL",2020-04-01,3266123200,61.625,73.6325,59.224998,72.993935
29,"AAPL",2020-05-01,2806405200,71.5625,81.059998,71.462502,79.205299
30,"AAPL",2020-06-01,1897053000,79.4375,93.095001,79.302498,90.879066
31,"AAPL",2020-07-01,1889861900,91.279999,106.415001,89.144997,105.886086
32,"AAPL",2020-08-03,4070623100,108.199997,131,107.892502,128.817749
33,"AAPL",2020-09-01,3885767100,132.759995,137.979996,103.099998,115.610542
34,"AAPL",2020-10-01,2895016800,117.639999,125.389999,107.720001,108.672516
35,"AAPL",2020-11-02,2123077300,109.110001,121.989998,107.32,119.050003
36,"AAPL",2020-12-01,2322830600,121.010002,138.789993,120.010002,132.690002
37,"AAPL",2021-01-04,1205055631,133.520004,133.610001,126.379997,127.139999
38,"FB",2018-01-02,495655700,177.679993,190.660004,175.800003,186.889999
39,"FB",2018-02-01,516251600,188.220001,195.320007,167.179993,178.320007
40,"FB",2018-03-01,996201700,179.009995,186.100006,149.020004,159.789993
41,"FB",2018-04-02,750072700,157.809998,177.100006,150.509995,172
42,"FB",2018-05-01,401144100,172,192.720001,170.229996,191.779999
43,"FB",2018-06-01,387265600,193.070007,203.550003,186.429993,194.320007
44,"FB",2018-07-02,647030700,193.369995,218.619995,166.559998,172.580002
45,"FB",2018-08-01,548832700,173.929993,188.300003,170.270004,175.729996
46,"FB",2018-09-04,500468800,173.5,173.889999,158.869995,164.460007
47,"FB",2018-10-01,622446300,163.029999,165.880005,139.029999,151.789993
48,"FB",2018-11-01,518151700,151.520004,154.130005,126.849998,140.610001
49,"FB",2018-12-03,558786200,143,147.190002,123.019997,131.089996
50,"FB",2019-01-02,527547900,128.990005,171.679993,128.559998,166.690002
51,"FB",2019-02-01,302243200,165.839996,172.470001,159.589996,161.449997
52,"FB",2019-03-01,388182300,162.600006,174.300003,159.279999,166.690002
53,"FB",2019-04-01,382184300,167.830002,198.479996,167.279999,193.399994
54,"FB",2019-05-01,286821500,194.779999,196.179993,177.160004,177.470001
55,"FB",2019-06-03,426410300,175,198.880005,160.839996,193
56,"FB",2019-07-01,351062500,195.210007,208.660004,191.929993,194.229996
57,"FB",2019-08-01,294694900,194.169998,198.470001,176.660004,185.669998
58,"FB",2019-09-03,264538500,184,193.100006,175.660004,178.080002
59,"FB",2019-10-01,326207200,179.149994,198.089996,173.089996,191.649994
60,"FB",2019-11-01,258303900,192.850006,203.800003,188.539993,201.639999
61,"FB",2019-12-02,276257100,202.130005,208.929993,193.169998,205.25
62,"FB",2020-01-02,347314600,206.75,224.199997,201.059998,201.910004
63,"FB",2020-02-03,317576800,203.440002,218.770004,181.820007,192.470001
64,"FB",2020-03-02,649467700,194.029999,197.240005,137.100006,166.800003
65,"FB",2020-04-01,541539000,161.619995,209.690002,150.830002,204.710007
66,"FB",2020-05-01,509591000,201.600006,240.899994,198.759995,225.089996
67,"FB",2020-06-01,547998800,224.589996,245.190002,207.110001,227.070007
68,"FB",2020-07-01,517661800,228.5,255.850006,226.899994,253.669998
69,"FB",2020-08-03,574274100,252.649994,304.670013,247.429993,293.200012
70,"FB",2020-09-01,499103600,294.709991,303.600006,244.130005,261.899994
71,"FB",2020-10-01,454125000,265.350006,285.23999,254.820007,263.109985
72,"FB",2020-11-02,356771600,264.600006,297.380005,257.339996,276.970001
73,"FB",2020-12-01,363932500,279.160004,291.779999,264.630005,273.160004
74,"FB",2021-01-04,239509430,274.779999,275,244.610001,251.360001
75,"TSLA",2018-01-02,621357500,62.400002,72.099998,61.136002,70.862
76,"TSLA",2018-02-01,545950000,70.199997,71.998001,58.952,68.612
77,"TSLA",2018-03-01,786342500,69.001999,69.734001,49.641998,53.226002
78,"TSLA",2018-04-02,951554000,51.251999,61.900002,48.917999,58.779999
79,"TSLA",2018-05-01,777890500,58.702,62.598,54.683998,56.945999
80,"TSLA",2018-06-01,1067125500,57.172001,74.746002,56.768002,68.589996
81,"TSLA",2018-07-02,861641000,72.014,72.956001,57.226002,59.627998
82,"TSLA",2018-08-01,1386801000,59.598,77.491997,57.639999,60.332001
83,"TSLA",2018-09-04,980377000,59.388,62.992001,50.450001,52.953999
84,"TSLA",2018-10-01,1431803500,61.153999,69.431999,49.554001,67.463997
85,"TSLA",2018-11-01,665095500,67.652,73.349998,65,70.096001
86,"TSLA",2018-12-03,732256000,72,75.898003,58.818001,66.559998
87,"TSLA",2019-01-02,878260500,61.220001,70.400002,55.855999,61.403999
88,"TSLA",2019-02-01,642750500,61.084,64.848,57.754002,63.976002
89,"TSLA",2019-03-01,1068967500,61.388,61.425999,50.891998,55.972
90,"TSLA",2019-04-01,1153736500,56.523998,59.234001,46.226002,47.737999
91,"TSLA",2019-05-01,1412994000,47.77,51.669998,36.82,37.032001
92,"TSLA",2019-06-03,1074853000,37.102001,46.948002,35.397999,44.692001
93,"TSLA",2019-07-01,996683500,46.042,53.214001,44.444,48.321999
94,"TSLA",2019-08-01,668953000,48.529999,48.902,42.200001,45.122002
95,"TSLA",2019-09-03,678876500,44.816002,50.700001,43.672001,48.174
96,"TSLA",2019-10-01,1139913000,48.299999,68.167999,44.855999,62.984001
97,"TSLA",2019-11-01,788854000,63.264,72.239998,61.852001,65.987999
98,"TSLA",2019-12-02,1035400000,65.879997,87.061996,65.449997,83.666
99,"TSLA",2020-01-02,2036092500,84.900002,130.600006,84.342003,130.113998
100,"TSLA",2020-02-03,2365483000,134.738007,193.798004,122.304001,133.598007
101,"TSLA",2020-03-02,2104675000,142.251999,161.395996,70.101997,104.800003
102,"TSLA",2020-04-01,514408800,100.800003,173.964005,89.279999,156.376007
103,"TSLA",2020-05-01,272827500,151,168.658005,136.608002,167
104,"TSLA",2020-06-01,255718100,171.600006,217.537994,170.820007,215.962006
105,"TSLA",2020-07-01,987965900,216.600006,358.997986,216.100006,286.152008
106,"TSLA",2020-08-03,1557876400,289.839996,500.140015,273,498.320007
107,"TSLA",2020-09-01,1736563100,502.140015,502.48999,329.880005,429.01001
108,"TSLA",2020-10-01,833832100,440.76001,465.899994,379.109985,388.040009
109,"TSLA",2020-11-02,782494200,394,607.799988,392.299988,567.599976
110,"TSLA",2020-12-01,1196698400,597.590027,718.719971,541.210022,705.669983
111,"TSLA",2021-01-04,499966896,719.460022,884.48999,717.190002,826.159973
